,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
159,Product Development,24,GhaNo,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,no  ,linkedin
160,"Product Marketing,Product Growth ,Product Design,Product Development",39,GhaNo,Africa,Recently Graduated and Unemployed, No- I have not ,WhatsApp,10-15 hours,english  ,referral
161,"Product Marketing,Product Design,Product Growth ",20,GhaNo,Africa,University Student, Yes- I have completed multiple such courses ,"LinkedIn,WhatsApp,Email",10-15 hours,english  ,linkedin
162,Product Marketing,29,India,APAC,Currently Unemployed, No- I have not ,Email,10-15 hours,hindi  ,linkedin
163,Product Design,25,India,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,linkedin
164,Product Design,24,India,APAC,Employed, No- I have not ,"WhatsApp,Email",10-15 hours,hindi  ,linkedin
165,"Product Design,Product Marketing",19,India,APAC,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
166,Product Design,23,India,APAC,Employed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,referral
167,Product Design,24,India,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,15-20 hours,english  ,linkedin
168,"Product Growth ,Product Development",20,India,APAC,University Student, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,no  ,linkedin
169,Product Development,22,India,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
170,Product Design,21,India,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,linkedin
171,"Product Design,Product Development",21,India,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,linkedin
172,Product Marketing,23,India,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,20-25 hours,english  ,linkedin
