,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
291,Product Design,19,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Instagram,Email",10-15 hours,english  ,linkedin
292,Product Design,35,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
293,"Product Design,Product Marketing",21,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
294,Product Design,21,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
295,"Product Marketing,Product Design,Product Development,Product Growth ",29,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"LinkedIn,WhatsApp,Email",15-20 hours,english  ,linkedin
296,Product Marketing,45,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
297,Product Marketing,24,Nigeria,Africa,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,linkedin
298,"Product Marketing,Product Design",25,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,referral
299,Product Marketing,27,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
300,Product Development,25,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,english  ,linkedin
301,"Product Marketing,Product Design,Product Growth ,Product Development",22,Nigeria,Africa,University Student, No- I have not ,"LinkedIn,WhatsApp",10-15 hours,english  ,linkedin
302,"Product Marketing,Product Development",26,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,no  ,referral
303,"Product Marketing,Product Growth ",24,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,linkedin
304,"Product Design,Product Development,Product Marketing",22,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn,WhatsApp",15-20 hours,english  ,linkedin
305,Product Design,25,Nigeria,Africa,Employed, No- I have not ,"WhatsApp,Email",10-15 hours,no  ,linkedin
306,Product Marketing,25,Nigeria,Africa,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,linkedin
307,Product Design,23,Nigeria,Africa,Currently Unemployed, No- I have not ,"Email,WhatsApp",20-25 hours,None  ,referral
308,Product Design,23,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
309,Product Design,23,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
310,Product Design,25,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,Email",20-25 hours,english  ,linkedin
311,"Product Marketing,Product Design,Product Development",25,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp,Instagram,LinkedIn",10-15 hours,english  ,linkedin
312,Product Marketing,28,Nigeria,Africa,Employed, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,referral
313,Product Growth,25,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,None  ,linkedin
314,Product Design,23,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,linkedin
315,Product Design,21,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,Instagram",15-20 hours,english  ,linkedin
316,Product Development,21,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",20-25 hours,english  ,linkedin
317,Product Development,26,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,10-15 hours,english  ,linkedin
318,Product Design,24,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,linkedin
319,Product Design,22,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,english  ,linkedin
320,Product Design,23,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,no  ,linkedin
321,Product Design,24,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
322,Product Design,26,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,english  ,linkedin
323,"Product Marketing,Product Design,Product Growth ",25,Nigeria,Africa,University Student, No- I have not ,"Email,WhatsApp",20-25 hours,no  ,linkedin
324,Product Design,25,Nigeria,Africa,Currently Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
325,Product Design,18,Nigeria,Africa,High School Student, No- I have not ,WhatsApp,10-15 hours,english  ,referral
326,Product Design,23,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn",15-20 hours,None  ,linkedin
327,Product Design,27,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,english  ,linkedin
328,"Product Design,Product Development,Product Growth ,Product Marketing",25,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,linkedin
329,Product Design,25,Nigeria,Africa,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,no  ,linkedin
330,Product Design,22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,linkedin
331,"Product Marketing,Product Development,Product Growth ",25,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
332,Product Design,26,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,15-20 hours,english  ,linkedin
333,Product Design,36,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,WhatsApp,Email",10-15 hours,english  ,linkedin
334,Product Design,25,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,no  ,linkedin
335,"Product Marketing,Product Growth ",41,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
336,Product Design,25,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,LinkedIn,Email",15-20 hours,english  ,linkedin
337,"Product Design,Product Marketing",22,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,15-20 hours,None  ,referral
338,"Product Marketing,Product Design,Product Development,Product Growth ",21,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
339,"Product Development,Product Design,Product Marketing,Product Growth ",20,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,None  ,linkedin
340,Product Marketing,21,Nigeria,Africa,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
341,Product Design,27,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,LinkedIn",15-20 hours,None  ,linkedin
342,"Product Design,Product Marketing,Product Growth ",28,Nigeria,Africa,Currently Unemployed, No- I have not ,WhatsApp,15-20 hours,english  ,referral
343,Product Design,27,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,referral
344,Product Design,25,Nigeria,Africa,Employed, No- I have not ,Email,10-15 hours,english  ,referral
345,Product Marketing,20,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,referral
346,"Product Marketing,Product Design,Product Growth ",23,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,WhatsApp,Email",10-15 hours,english  ,referral
347,"Product Design,Product Development",28,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,english  ,referral
348,"Product Marketing,Product Development,Product Growth ,Product Design",26,Nigeria,Africa,Currently Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,referral
349,Product Development,22,Nigeria,Africa,Currently Unemployed, No- I have not ,Email,15-20 hours,english  ,referral
350,Product Development,19,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
351,"Product Marketing,Product Development,Product Growth ",22,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
352,Product Development,20,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,linkedin
353,Product Design,27,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,linkedin
354,"Product Development,Product Growth ",26,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
355,"Product Marketing,Product Design,Product Development,Product Growth ",21,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,15-20 hours,english  ,referral
356,Product Development,21,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,linkedin
357,"Product Marketing,Product Design,Product Development,Product Growth ",35,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,no  ,linkedin
358,Product Growth,21,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
359,Product Design,22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",10-15 hours,no  ,linkedin
360,"Product Marketing,Product Growth ,Product Development",24,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
361,Product Design,17,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
362,Product Growth,23,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn",10-15 hours,None  ,linkedin
363,Product Marketing,25,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,linkedin
364,Product Development,27,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",15-20 hours,no  ,linkedin
365,Product Design,24,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,no  ,linkedin
366,Product Design,23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,referral
367,"Product Development,Product Growth ",22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,no  ,linkedin
368,Product Design,19,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,referral
369,"Product Design,Product Growth ",25,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
370,"Product Design,Product Development,Product Growth ",20,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
371,"Product Marketing,Product Design",30,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn",10-15 hours,None  ,linkedin
372,"Product Marketing,Product Design",21,Nigeria,Africa,Employed, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,linkedin
373,"Product Marketing,Product Growth ",27,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
374,Product Development,19,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,15-20 hours,english  ,referral
375,Product Development,26,Nigeria,Africa,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,linkedin
376,Product Design,18,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",20-25 hours,english  ,whatsapp
377,"Product Development,Product Growth ",25,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,referral
378,"Product Development,Product Growth ",17,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
379,Product Marketing,23,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
380,"Product Development,Product Growth ,Product Marketing",21,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
381,Product Marketing,21,Nigeria,Africa,University Student, No- I have not ,Email,15-20 hours,english  ,linkedin
382,Product Growth,23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",15-20 hours,None  ,linkedin
383,Product Growth,27,Nigeria,Africa,Currently Unemployed, No- I have not ,WhatsApp,20-25 hours,no  ,referral
384,"Product Marketing,Product Development",25,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
385,"Product Marketing,Product Design,Product Development,Product Growth ",25,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",15-20 hours,english  ,linkedin
386,Product Design,21,Nigeria,Africa,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,linkedin
387,Product Development,36,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
388,Product Marketing,30,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,referral
389,"Product Growth ,Product Development,Product Design,Product Marketing",27,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
390,"Product Development,Product Growth ",32,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,no  ,linkedin
391,Product Design,25,Nigeria,Africa,University Student, No- I have not ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,english  ,linkedin
392,Product Growth,26,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
393,"Product Marketing,Product Design",24,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,referral
394,"Product Development,Product Marketing,Product Growth ",34,Nigeria,Africa,Employed, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,instagram
395,Product Marketing,19,Nigeria,Africa,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,linkedin
396,Product Development,26,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,whatsapp
397,Product Design,23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",15-20 hours,no  ,whatsapp
398,Product Development,18,Nigeria,Africa,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,referral
399,Product Design,22,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,english  ,linkedin
400,Product Marketing,24,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"LinkedIn,Email,WhatsApp",20-25 hours,english  ,linkedin
401,Product Marketing,26,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",10-15 hours,no  ,referral
402,Product Design,25,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,None  ,referral
403,Product Design,22,Nigeria,Africa,Employed, No- I have not ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
404,Product Growth,33,Nigeria,Africa,Employed, No- I have not ,WhatsApp,10-15 hours,english  ,linkedin
405,"Product Marketing,Product Growth ,Product Development,Product Design",27,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,english  ,facebook
406,Product Development,23,Nigeria,Africa,University Student, No- I have not ,"Email,LinkedIn,WhatsApp",15-20 hours,english  ,referral
407,Product Marketing,22,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,no  ,linkedin
408,"Product Design,Product Development,Product Growth ",24,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,linkedin
409,Product Marketing,24,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
410,"Product Development,Product Growth ",23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,None  ,referral
411,"Product Marketing,Product Growth ",25,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
412,Product Design,26,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
413,Product Development,25,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,referral
414,Product Design,19,Nigeria,Africa,University Student, No- I have not ,"Email,WhatsApp,Instagram",15-20 hours,english  ,referral
415,Product Growth,26,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
416,Product Development,22,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,english  ,linkedin
417,Product Design,24,Nigeria,Africa,University Student, No- I have not ,Email,10-15 hours,english  ,whatsapp
418,Product Marketing,26,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
419,"Product Marketing,Product Growth ",23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,Instagram",10-15 hours,None  ,referral
420,"Product Design,Product Development",22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,referral
421,"Product Development,Product Growth ",38,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,english  ,linkedin
422,"Product Design,Product Marketing",23,Nigeria,Africa,University Student, No- I have not ,"WhatsApp,Email,LinkedIn",10-15 hours,no  ,referral
423,"Product Design,Product Development,Product Growth ",21,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"LinkedIn,WhatsApp",20-25 hours,english  ,referral
424,"Product Development,Product Growth ",21,Nigeria,Africa,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,referral
425,"Product Development,Product Growth ,Product Marketing",29,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,english  ,referral
426,"Product Marketing,Product Development,Product Growth ,Product Design",30,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",20-25 hours,english  ,referral
427,Product Marketing,42,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,Email,15-20 hours,no  ,referral
428,Product Marketing,35,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,linkedin
429,"Product Development,Product Marketing,Product Design",18,Nigeria,Africa,University Student, No- I have not ,Email,10-15 hours,english  ,referral
430,"Product Development,Product Growth ,Product Marketing",22,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,no  ,referral
431,"Product Marketing,Product Development,Product Growth ",27,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,telegram
432,"Product Design,Product Marketing",24,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,Instagram",10-15 hours,no  ,referral
433,Product Marketing,19,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,no  ,referral
434,Product Development,30,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,no  ,referral
435,"Product Marketing,Product Growth ",29,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
436,"Product Marketing,Product Growth ",22,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,10-15 hours,english  ,linkedin
437,"Product Development,Product Growth ",24,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn,Instagram",15-20 hours,english  ,referral
438,"Product Marketing,Product Design,Product Development,Product Growth ",25,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn,Instagram",15-20 hours,english  ,referral
439,Product Development,24,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
440,"Product Development,Product Design",19,Nigeria,Africa,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,referral
441,Product Design,28,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,no  ,referral
442,Product Design,22,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
443,"Product Marketing,Product Development",22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,referral
444,"Product Marketing,Product Development,Product Growth ,Product Design",30,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,no  ,telegram
445,Product Design,28,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,english  ,linkedin
446,Product Marketing,22,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,referral
447,Product Design,21,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,referral
448,Product Development,21,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
449,"Product Development,Product Growth ",21,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
450,Product Marketing,22,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",15-20 hours,english  ,referral
451,Product Design,25,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
452,"Product Marketing,Product Growth ,Product Development",54,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,referral
453,"Product Marketing,Product Development",23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,no  ,referral
454,Product Development,21,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
455,Product Marketing,25,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
456,Product Design,23,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email,Instagram",10-15 hours,english  ,referral
457,Product Design,22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,referral
458,"Product Design,Product Development",30,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,google
459,"Product Design,Product Development",25,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,WhatsApp,Email",10-15 hours,english  ,referral
460,Product Marketing,22,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
461,Product Development,26,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,google
462,Product Development,22,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,no  ,linkedin
463,Product Growth,25,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
464,"Product Design,Product Development,Product Growth ",23,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,referral
465,Product Design,27,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email,LinkedIn,Instagram",15-20 hours,english  ,referral
466,Product Growth,23,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,english  ,telegram
467,Product Design,20,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,20-25 hours,english  ,linkedin
468,"Product Design,Product Growth ",23,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
469,Product Development,18,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,LinkedIn",15-20 hours,english  ,referral
470,Product Design,21,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
471,Product Design,35,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,no  ,referral
472,Product Design,24,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,referral
473,Product Design,24,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,no  ,referral
474,Product Growth,27,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,referral
475,"Product Marketing,Product Development,Product Design,Product Growth ",25,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,english  ,telegram
